Ref,Val,Package,PosX,PosY,Rot,Side
"C48","10u","C_0603_1608Metric",-33.900000,75.700000,90.000000,bottom
"C49","100n","C_0402_1005Metric",-32.600000,75.650000,90.000000,bottom
"C50","100n","C_0402_1005Metric",-74.750000,64.600000,-90.000000,bottom
"C51","1u","C_0603_1608Metric",-53.800000,66.400000,90.000000,bottom
"C52","100n","C_0402_1005Metric",-63.600000,65.400000,0.000000,bottom
"C53","100n","C_0402_1005Metric",-53.350000,55.350000,0.000000,bottom
"C54","100n","C_0402_1005Metric",-69.100000,55.350000,0.000000,bottom
"C55","100n","C_0402_1005Metric",-56.300000,55.800000,90.000000,bottom
"C56","1u","C_0603_1608Metric",-30.100000,69.400000,0.000000,bottom
"C57","11p","C_0603_1608Metric",-48.300000,56.350000,90.000000,bottom
"C58","1u","C_0603_1608Metric",-25.990000,64.860000,90.000000,bottom
"C59","1u","C_0603_1608Metric",-45.400000,66.200000,90.000000,bottom
"C60","11p","C_0603_1608Metric",-45.650000,53.438000,180.000000,bottom
"C61","1u","C_0603_1608Metric",-44.000000,69.200000,180.000000,bottom
"C62","100p","C_0603_1608Metric",-30.200000,54.200000,-90.000000,bottom
"C63","100n","C_0402_1005Metric",-46.200000,50.550000,180.000000,bottom
"C64","100n","C_0402_1005Metric",-45.100000,72.600000,180.000000,bottom
"C65","100n","C_0603_1608Metric",-33.300000,51.150000,-90.000000,bottom
"C66","1u","C_0603_1608Metric",-31.300000,61.400000,0.000000,bottom
"C67","100n","C_0402_1005Metric",-39.200000,70.500000,0.000000,bottom
"C68","1u","C_0603_1608Metric",-34.900000,70.700000,90.000000,bottom
"C69","100n","C_0402_1005Metric",-21.950000,70.950000,0.000000,bottom
"C70","100p","C_0603_1608Metric",-14.450000,53.500000,-90.000000,bottom
"C71","10u","C_0603_1608Metric",-9.500000,72.800000,0.000000,bottom
"C72","1u","C_0603_1608Metric",-12.350000,66.990000,90.000000,bottom
"C73","100n","C_0603_1608Metric",-15.600000,50.200000,180.000000,bottom
"C74","1u","C_0603_1608Metric",-15.200000,58.800000,180.000000,bottom
"C75","100n","C_0402_1005Metric",-9.500000,74.050000,0.000000,bottom
"C76","100n","C_0402_1005Metric",-53.150000,30.825000,0.000000,bottom
"C77","100n","C_0402_1005Metric",-71.650000,34.650000,0.000000,bottom
"C78","100n","C_0402_1005Metric",-71.750000,48.400000,90.000000,bottom
"C79","100n","C_0402_1005Metric",-60.625000,30.400000,-90.000000,bottom
"C80","100n","C_0402_1005Metric",-55.100000,30.800000,180.000000,bottom
"C81","100n","C_0402_1005Metric",-71.150000,40.500000,90.000000,bottom
"C82","100n","C_0402_1005Metric",-71.150000,46.400000,-90.000000,bottom
"C83","100n","C_0402_1005Metric",-46.200000,35.000000,180.000000,bottom
"C84","100n","C_0603_1608Metric",-25.250000,40.700000,90.000000,bottom
"C85","100n","C_0402_1005Metric",-46.400000,38.700000,-90.000000,bottom
"C86","4.7u","C_0603_1608Metric",-44.750000,37.000000,-90.000000,bottom
"C87","100n","C_0603_1608Metric",-37.700000,38.100000,180.000000,bottom
"C88","100n","C_0402_1005Metric",-46.450000,36.430000,-90.000000,bottom
"C89","100n","C_0402_1005Metric",-47.350000,27.850000,-90.000000,bottom
"C90","100n","C_0402_1005Metric",-45.460000,48.810000,180.000000,bottom
"C91","1u","C_0603_1608Metric",-45.600000,33.750000,180.000000,bottom
"C92","100n","C_0603_1608Metric",-40.000000,45.300000,180.000000,bottom
"C93","100p","C_0603_1608Metric",-34.700000,35.500000,0.000000,bottom
"C94","100n","C_0402_1005Metric",-46.200000,47.800000,180.000000,bottom
"C95","100p","C_0603_1608Metric",-36.100000,43.850000,90.000000,bottom
"C96","100p","C_0603_1608Metric",-20.700000,44.800000,180.000000,bottom
"C97","10u","C_0603_1608Metric",-12.850000,38.150000,180.000000,bottom
"C98","100p","C_0603_1608Metric",-23.500000,35.300000,90.000000,bottom
"C99","100n","C_0402_1005Metric",-12.775000,36.900000,180.000000,bottom
"C100","100n","C_0603_1608Metric",-17.900000,47.600000,-90.000000,bottom
"C101","1n","C_0603_1608Metric",-85.100000,11.900000,90.000000,bottom
"C102","1n","C_0603_1608Metric",-86.600000,11.900000,90.000000,bottom
"D1","TSS0340URGG","DIO_TSS0340URGG",-49.800000,75.200000,0.000000,bottom
"D2","TSS0340URGG","DIO_TSS0340URGG",-41.300000,66.800000,-90.000000,bottom
"D3","TSS0340URGG","DIO_TSS0340URGG",-12.000000,69.700000,-90.000000,bottom
"F6","MF-PSML075_12-2","MFPSML075122",-72.200000,80.250000,180.000000,bottom
"F7","FEMTOSMDC016F-2","FUSC1608X85N",-36.200000,75.000000,180.000000,bottom
"F8","0ZCM0001FF2G","FUSC1607X85N",-76.800000,64.450000,180.000000,bottom
