Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0603_1608Metric",2.200000,84.400000,-90.000000,top
"C2","1n","C_0603_1608Metric",6.700000,84.400000,-90.000000,top
"C3","1n","C_0603_1608Metric",3.700000,84.400000,-90.000000,top
"C4","100n","C_0402_1005Metric",8.900000,74.250000,180.000000,top
"C5","100n","C_0402_1005Metric",20.500000,71.000000,180.000000,top
"C6","100n","R_0402_1005Metric",20.600000,51.400000,-90.000000,top
"C7","10u","C_0603_1608Metric",8.900000,73.000000,180.000000,top
"C8","10u","C_0603_1608Metric",20.450000,69.750000,180.000000,top
"C9","390n","C_0603_1608Metric",40.900000,61.200000,90.000000,top
"C10","390n","C_0603_1608Metric",48.200960,65.900000,-90.000000,top
"C11","100n","C_0402_1005Metric",43.600000,51.450000,-90.000000,top
"C12","0.1u","C_0603_1608Metric",36.375000,69.050000,0.000000,top
"C13","390n","C_0603_1608Metric",37.525960,61.186779,-90.000000,top
"C14","390n","C_0603_1608Metric",51.400000,65.900000,90.000000,top
"C15","0.1u","C_0603_1608Metric",49.800000,73.750000,0.000000,top
"C16","0.1u","C_0603_1608Metric",58.300000,52.550000,0.000000,top
"C17","100n","C_0402_1005Metric",23.600000,41.700000,180.000000,top
"C18","100n","C_0402_1005Metric",21.625000,26.800000,90.000000,top
"C19","100n","C_0402_1005Metric",20.450000,34.600000,180.000000,top
"C20","100n","C_0402_1005Metric",20.900000,33.650000,180.000000,top
"C21","100n","C_0402_1005Metric",39.450000,41.650000,180.000000,top
"C22","100n","C_0402_1005Metric",47.200000,35.800000,90.000000,top
"C23","11p","C_0603_1608Metric",48.000000,38.500000,0.000000,top
"C24","100n","C_0402_1005Metric",36.000000,43.700000,90.000000,top
"C25","11p","C_0603_1608Metric",45.660000,42.655000,90.000000,top
"C26","100n","C_0402_1005Metric",46.200000,24.650000,-90.000000,top
"C27","100n","C_0402_1005Metric",51.200000,34.250000,0.000000,top
"C28","100n","C_0402_1005Metric",50.400000,37.200000,90.000000,top
"C29","390n","C_0603_1608Metric",68.300000,31.400000,90.000000,top
"C30","390n","C_0603_1608Metric",58.900000,42.200000,0.000000,top
"C31","100n","C_0603_1608Metric",65.700000,26.000000,180.000000,top
"C32","390n","C_0603_1608Metric",71.300000,31.400000,-90.000000,top
"C33","390n","C_0603_1608Metric",58.900000,45.400000,180.000000,top
"C34","0.1u","C_0603_1608Metric",70.400000,43.350000,0.000000,top
"C35","100n","C_0402_1005Metric",12.000000,17.250000,0.000000,top
"C36","100n","C_0402_1005Metric",21.700000,20.300000,-90.000000,top
"C37","100n","C_0402_1005Metric",18.250000,11.550000,90.000000,top
"C38","100n","C_0402_1005Metric",37.900000,17.150000,0.000000,top
"C39","100n","C_0402_1005Metric",31.700000,16.000000,-90.000000,top
"C40","1u","C_0603_1608Metric",47.500000,20.400000,-90.000000,top
"C41","100n","C_0402_1005Metric",46.250000,22.800000,90.000000,top
"C42","100n","C_0402_1005Metric",46.250000,20.950000,-90.000000,top
"C43","100n","C_0402_1005Metric",39.800000,17.150000,180.000000,top
"C44","4.7u","C_0603_1608Metric",48.200000,23.410000,90.000000,top
"C45","100n","C_0402_1005Metric",46.600000,15.900000,-90.000000,top
"C46","100n","C_0603_1608Metric",66.000000,11.200000,0.000000,top
"C47","1n","C_0603_1608Metric",78.600000,5.300000,180.000000,top
"F1","MF-PSML075_12-2","MFPSML075122",71.600000,79.000000,180.000000,top
"F2","MF-ASML035_6-2","MF-ASML035_6-2",15.100000,73.600000,180.000000,top
"F3","MF-ASML035_6-2","MF-ASML035_6-2",29.000000,73.900000,180.000000,top
"F4","FEMTOASMDC005F-2","FEMTOASMDC005F-2",10.600000,18.600000,0.000000,top
"F5","FEMTOASMDC005F-2","FEMTOASMDC005F-2",16.150000,11.250000,0.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",87.800000,93.800000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",2.300000,2.300000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",87.800000,2.300000,0.000000,top
"FL1","470 @ 100 MHz","BLM18PG471SH1D",48.300000,25.800000,180.000000,top
"FL2","470 @ 100 MHz","BLM18PG471SH1D",33.000000,15.400000,90.000000,top
