"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J20,J16";"5037630691";2;"503763-0691";;;
2;"TP40,TP24,TP42,TP27,TP43,TP32,TP31,TP45,TP10,TP41,TP7,TP46,TP33,TP28,TP37,TP34,TP47,TP8,TP49,TP36,TP26,TP29,TP44,TP48,TP6,TP25,TP35,TP52,TP30,TP13,TP56,TP55";"TestPoint_Pad_D1.0mm";32;"TestPoint_Small";;;
3;"J13";"5040500291";1;"504050-0291";;;
4;"J6,J3,J4,J2";"DF584P12V21";4;"DF58-4P-1.2V_21_";;;
5;"U7";"MR4A08BUYS45";1;"MR4A08BUYS45";;;
6;"U18,U17,U11,U10";"TCAN337GDR";4;"TCAN337GD";;;
7;"R65";"R_0603_1608Metric";1;"300k";;;
8;"H4,H1,H3,H2";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_Pad";;;
9;"R90,R102,R101,R56,R99,R52,R64,R91,R58,R62,R89,R100,R104,R60,R54,R92,R50,R98,R97,R103";"R_0603_1608Metric";20;"1k";;;
10;"F11,F12";"MF-ASML035_6-2";2;"MF-ASML035_6-2";;;
11;"Q8,Q10,Q7,Q9";"PMV28XPEAR";4;"PMV28XPEAR";;;
12;"R83,R79,R77,R74";"R_0603_1608Metric";4;"30K";;;
13;"R117,R119,R118,R120";"R_0603_1608Metric";4;"0.5";;;
14;"C45,C59,C64,C60,C57,C62,C58,C55,C52,C54,C50,C66,C61,C46,C2,C48,C93,C51,C53,C65,C63,C47,C35,C19,C33,C40,C20,C26,C18,C41,C91,C28,C23,C31,C37,C22,C32,C39,C42,C34,C36,C29,C17";"C_0402_1005Metric";43;"100n";;;
15;"J12";"M80-66612YY";1;"M80-6661222";;;
16;"F13,F14";"FEMTOASMDC005F-2";2;"FEMTOASMDC005F-2";;;
17;"R46,R34";"R_0603_1608Metric";2;"510k";;;
18;"C100,C98,C97,C102,C101,C99";"C_0603_1608Metric";6;"1n";;;
19;"U16,U14";"ATSAMV71Q21B-AAB";2;"ATSAMV71Q21B-AAB";;;
20;"U19,U20,U13,U12";"MCP9808T-E_MS";4;"MCP9808T-E_MS";;;
21;"R37,R126,R38,R127,R12,R7,R23,R26,R11";"R_0402_1005Metric";9;"100k";;;
22;"R130,R48,R47,R131,R9,R10,R20,R24,R14,R15";"R_0402_1005Metric";10;"1.5k";;;
23;"C67,C70,C69,C68";"C_0603_1608Metric";4;"0.1u";;;
24;"Y3,Y2";"ECSTXO252033160ANTR";2;"ECS-TXO-2520-33-160-AN-TR";;;
25;"R78,R73,R95,R93,R96,R76,R82,R94";"R_0603_1608Metric";8;"1K";;;
26;"R59,R55,R63,R61,R53,R51,R49,R57";"R_0603_1608Metric";8;"20k";;;
27;"IC2,IC4,IC3,IC5";"TLC555QDR";4;"TLC555QDR";;;
28;"C71,C72,C77,C75,C78,C76,C74,C73";"C_0603_1608Metric";8;"3.9u";;;
29;"Q6,Q5,Q3,Q4";"2N7002NXAKR";4;"2N7002NXAKR";;;
30;"R18,R13";"R_0402_1005Metric";2;"120";;;
31;"R3,R6,R2,R1,R4,R5";"R_0603_1608Metric";6;"10k";;;
32;"R72,R71,R70";"R_0603_1608Metric";3;"500K";;;
33;"J15,J18";"SSM104LSVTR";2;"SSM-104-L-SV-TR";;;
34;"FL6,FL4,FL5,FL3,FL1,FL2";"BLM18PG471SH1D";6;"470 @ 100 MHz";;;
35;"R67,R68,R66";"R_0603_1608Metric";3;"500k";;;
36;"R75,R81,R80,R85,R84,R86,R88,R87";"R_0603_1608Metric";8;"10K";;;
